ch,no,que,ans,A,B,C,D
1,1,「我支持你。」的臺文寫作「我_____你。」,A,伨 thīn,挺 thánn ,挺 thíng,扶 phôo
1,2,「你說什麼？」的臺文寫作「你講_____？」,C,物 mih,貨 huè,啥 siánn,代 tāi
1,3,「著來呢！ Tio̍h lâi--neh!」的意思是？,C,正在來！,對，來了！,要來喔！,來了呢！
1,4,「他待人很好。」的臺文寫作「_____人真好。」,D,阮 guán ,恁 lín,彼 hit ,伊 i
1,5,「告訴他讓他知道。」的臺文寫作「講_____伊知。」,B,與 í,予 hōo,跟 kin/kun,和 hām 
2,1,有人被撞到跌倒了，你可以問…,A,有要緊無？ Ū iàu-kín--bô?,你莫怪伊。 Lí mài kuài--i.,你捌伊無？ Lí bat--i--bô?,你共我記咧。 Lí kā guá kì--leh
2,2,「別跑」的臺文寫作？,C,無走 bô tsáu,毌走 m̄ tsáu,莫走 mài tsáu ,免走 bián tsáu
2,3,「你捌伊無」的「捌 bat」意思是？,B,懂、知道、明白,認識,曾經,其他的
2,4,「你共我記咧」的「咧 leh」這個助詞的意思是？,C,表示動作持續,表示時間短,表示祈使,表示疑問
2,5,「著你矣！ Tio̍h lí--ah!」的意思是？,B,對，你啦！,輪到你了！,得到你了！,必須是你了！
3,1,"""一个人的阿公、阿媽…  Tsi̍t-ê-lâng ê a-kong, a má…""",C,佮伊仝輩 Kah i kâng-puē.,並伊懸一輩 Phīng ī kuân tsi̍t puē.,並伊懸兩輩 Phīng ī kuân nng puē.,並伊低一輩 Phīng ī kē tsi̍t puē.
3,2,「你和我」的臺文寫作「你_____我」。,C,交 ka ,甲 kah,佮 kah ,共 kā 
3,3,「在你那裡嗎？」的臺文寫作「敢佇你______」。,B,遮 tsia,遐 hia,遮爾 tshiah-nī,遐爾 hiah-nī
3,4,「假𠢕」（自作聰明、逞能）的「𠢕」讀作？,B,âu,gâu,kâu,khâu
3,5,「定定 tiānn-tiānn」的同義詞不包含？,D,不三時 put-sam-sî,四常 sù-siông,捷捷 tsia̍p-tsia̍p,一半擺仔 tsi̍t-puànn-pái-á
4,1,「佇 tī（地點、時間）」的意思是？,C,佇立,儲藏,在,至
4,2,「很難走」的臺文寫作「真_____」,B,歹走 pháinn tsáu ,歹行 pháinn kiânn,䆀走 bái tsáu,䆀行 bái kiânn
4,3,「佗位」的讀音可以讀作？,A,tó-uī,tó-uí,tō-uī,tō-uí
4,4,「斡 uat」的意思是？,C,斡旋,旋轉,轉彎,繞圈
4,5,tò-pîng 的臺文寫作「_____」,D,正邊,倒邊,正爿,倒爿
5,1,「轉去 tńg--khì」的意思是？,D,轉彎,轉過去,轉彎,回去
5,2,臺灣南部又稱為？,D,北港 pak káng,南港 lâm káng,頂港 tíng káng,下港 ē káng
5,3,「庄頭 tsng-thâu」的意思是？,B,鄉下,村落,農田,魚塭
5,4,下列何者的意義與其他不同？,A,大晡日 tuā-poo-ji̍t/tuā-poo-li̍t,歹天 pháinn-thinn,雨來天 hōo-lâi-thinn,落雨天 lo̍h-hōo-thinn
5,5,有人約你去看演唱會，你想問確切時間，可以問…,C,佮啥人？ Kah siánn-lâng?,佇佗位？ Tī toh-uī?,啥物時陣？ Siànn-mi̍h sî-tsūn?,按怎去？ Án-tsuánn khì?
6,1,「這可以吃嗎？」的臺文寫作「這通食_____？」,B,嗎,無 bô,吧,喔 --ooh
6,2,「吃得太脹。」的臺文寫作「食了_____脹。」,C,真 tsin,誠 tsiânn ,傷 siunn,足 tsiok
6,3,人家問你「食飽袂 tsia̍h-pá--bē/buē」時，你可以回答…,C,有通食無？ Ū thang tsia̍h--bô?,有幾項菜？ Ū kuí han̄g tshài?,我猶未食飯。 Guá iáu-buē tsia̍h pn̄g,我欲去買雞卵。 Guá beh khì bé ke-nn̄g.
6,4,「把肉冰起來。」的臺文寫作「_____肉冰起來。」,D,交 ka ,甲 kah,佮 kah ,共 kā 
6,5,「伊上愛食炕肉。 I sion̄g ài tsia̍h khòng-bah.」的「上 sion̄g」的意思是？,A,最,以前,最不,之後
7,1,「吃葷」的臺文寫作？,C,食菜 tsia̍h-tshài,食素 tsia̍h-sòo,食臊 tsia̍h-tsho,食薰 tsia̍h-hun
7,2,佗一項是果子？ Toh tsi̍t-hāng sī kué-tsí?,B,番薯 han-tsî/han-tsû,柑仔 kam-á,番麥 huan-be̍h,蕹菜 ìng-tshài
7,3,「你們」的臺文寫作？,C,咱 lán,阮 guán ,恁 lín,"	𪜶 in"
7,4,「小孩子（不是指兒女）」的臺文寫作？,A,囡仔 gín-á,囡仔 kiánn-á,囝 gín,囝 kiánn
7,5,物件袂鹹著愛搵啥？ Mi̍h-kiānn buē kiâm tio̍h-ài ùn siànn?,A,豆油 tāu-iû,香油 hiang-iû,麻油 muâ-iû,苦茶油 khóo-tê-iû 
8,1,煮菜火開傷大會有啥味？ Tsú-tshài hué khui siunn tuā ē ū siánn bī?,D,臭酸 tshàu-sng,臭羶 tshàu-hiàn,臭殕 tshàu-phú,臭火焦 tshàu-hué-ta/tshàu-hé-ta
8,2,「不錯」的臺文寫作？,C,袂歹 buē pháinn,袂害 buē hāi,袂䆀 buē bái,袂毌著 buē m̄-tio̍h
8,3,「貯」（裝、盛）讀作？,A,té/tué,tī,khe̍h ,khǹg 
8,4,「或是」的臺文寫作？,B,猶是 iah-sī,抑是 ia̍h-sī,也是 iā sī,嘛是 mā sī
8,5,西瓜當時著時？ Si-kue tang-sî tio̍h-sî?,B,春天 tshun-thinn,熱人 jua̍h--lâng,秋天 tshiu-thinn,寒人 kuânn--lâng
