ch,no,que,ans,A,B,C,D
1,1,「我支持你。」的臺文寫作「我_____你。」,A,伨 thīn,挺 thánn ,挺 thíng,扶 phôo
1,2,「你說什麼？」的臺文寫作「你講_____？」,C,物 mih,貨 huè,啥 siánn,代 tāi
1,3,「著來呢！ Tio̍h lâi--neh!」的意思是？,C,正在來！,對，來了！,要來喔！,來了呢！
1,4,「他待人很好。」的臺文寫作「_____人真好。」,D,阮 guán ,恁 lín,彼 hit ,伊 i
1,5,「告訴他讓他知道。」的臺文寫作「講_____伊知。」,B,與 í,予 hōo,跟 kin/kun,和 hām 
2,1,「佇 tī（地點、時間）」的意思是？,C,佇立,儲藏,在,至
2,2,「很難走」的臺文寫作「真_____」,B,歹走 pháinn tsáu ,歹行 pháinn kiânn,䆀走 bái tsáu,䆀行 bái kiânn
2,3,「佗位」的讀音可以讀作？,A,tó-uī,tó-uí,tō-uī,tō-uí
2,4,「斡 uat」的意思是？,C,斡旋,旋轉,轉彎,繞圈
2,5,tò-pîng 的臺文寫作「_____」,D,正邊,倒邊,正爿,倒爿
3,1,「這可以吃嗎？」的臺文寫作「這通食_____？」,B,嗎,無 bô,吧,喔 --ooh
3,2,「吃得太脹。」的臺文寫作「食了_____脹。」,C,真 tsin,誠 tsiânn ,傷 siunn,足 tsiok
3,3,人家問你「食飽袂 tsia̍h-pá--bē/buē」時，你可以回答…,C,有通食無？ Ū thang tsia̍h--bô?,有幾項菜？ Ū kuí han̄g tshài?,我猶未食飯。 Guá iáu-buē tsia̍h pn̄g,我欲去買雞卵。 Guá beh khì bé ke-nn̄g.
3,4,「把肉冰起來。」的臺文寫作「_____肉冰起來。」,D,交 ka ,甲 kah,佮 kah ,共 kā 
3,5,「伊上愛食炕肉。 I sion̄g ài tsia̍h khoǹg-bah.」的「上 sion̄g」的意思是？,A,最,以前,最不,之後
